"","Company","Gender","Age","Occupation","Location","Manufac_country","Make","Model","Cylinder_capacity","Driving_Experience"
"63","1","2","4","3","1","1","1","2","2","4"
"64","1","2","4","2","1","3","5","11","2","1"
"65","1","2","4","2","1","2",NA,"11","3","4"
"66","1","2","4","6","1","1","2","11","2","4"
"67","1","2","4","1","1","1","1","2","2","4"
"68","1","2","4","3","3","1","1","2","2","4"
"69","1","2","4","1","1","1","1","1","2","1"
"70","1","2","4","7","1","1","1","11","1","4"
"71","1","2","4","7","2","1","1","11","1","4"
"72","1","2","4","7","2","2","3","11","2","4"
"73","1","2","4","7","1","1","1","3","3","2"
"74","1","2","4","1","2","1","2","11","2","4"
"75","1","2","4","2","2","1","1","1","2","2"
"76","1","2","4","1","3","1","1","11","2","4"
"77","1","2","4","1","2","1","1","2","2","4"
"78","1","2","4","1","3","1","1","2","2","1"
"79","1","2","4","7","1","1","1","1","2","4"
"80","1","2","4","3","1","1","1","2","2","4"
"81","1","2","4","1","1","1","1","2","2","4"
"82","1","2","4","7","2","2","3","6","2","4"
"83","1","2","4","7","3","1","1","2","2","4"
"84","1","2","4","1","2","3","5","11","2","4"
"85","1","2","4","1","2","2","3","6","2","4"
"86","1","2","4","2","3","3","5","11","2","4"
"87","1","2","4","7","1","1","1","1","2","4"
"88","1","2","4","3","3","1","1","1","2","4"
"89","1","2","4","7","1","1","1","11","2","4"
"90","1","2","4","1","2","1","1","3","3","4"
"91","1","2","4","2","3","1","1","1","2","2"
"92","1","2","4","7","1","1","1","11","1","4"
"93","1","2","4","1","1","1","1","11","1","4"
"94","1","2","4","2","1","1","1","2","2","4"
"95","1","2","4","7","1","2","3","6","2","1"
"96","1","2","4","1","1","3","5","11","1","4"
"97","1","2","4","2","1","1","1","1","2","4"
"98","1","2","4","7","1","1","1","11","2","4"
"99","1","2","4","7","1","2","3","6","2","4"
"100","1","2","4","2","3","1","1","2","2","1"
"101","1","2","4","1","2","2","3","6","2","4"
"102","1","2","4","1","2","1","1","11","1","4"
"103","1","2","4","1","1","1","1","2","2","4"
"104","1","2","4","1","3","1","1","2","2","4"
"105","1","1","4","1","1","1","1","11","2","2"
"106","1","1","4","1","2","2","3","6","2","4"
"107","1","1","4","7","1","2","3","6","2","4"
"108","1","1","4","2","1","2","3","6","2","4"
"109","1","1","4","1","2","1","1","1","2","4"
"110","1","1","4","4","2","6",NA,"11","3","4"
"111","1","1","4","2","1","2","3","6","2","4"
"112","1","1","4","7","2","1","1","2","2","4"
"113","1","1","4","4","1","1","1","2","2","4"
"114","1","1","4","1","1","3","5","11","2","4"
"115","1","1","4","5","2","1","1","2","2","4"
"116","1","1","4","1","2","1","1","11","2","4"
"117","1","1","4","1","3","1","1","1","2","4"
"118","1","1","4","1","3","2","3","6","2","4"
"119","1","1","4","3","2","5","7","11","2","4"
"120","1","1","4","3","1","1","1","1","2","4"
"121","1","1","4","7","1","3","5","11","1","4"
"122","1","1","4","2","3","2","3",NA,"3","4"
"123","1","1","4","7","2","2","3","6","2","4"
"124","1","1","4","5","1","1","1","11","2","4"
"125","1","1","4","1","1","2","4","11","2","4"
"126","1","1","4","1","1","1","1","11","1","4"
"127","1","1","4","2","1","1","1","11","2","4"
"128","1","1","4","1","2","3","5","11","2","4"
"129","1","1","4","1","1","2","3","7","3","4"
"130","1","1","4","1","3","3","5","11","2","4"
"131","1","1","4","2","2","1","2","11","2","3"
"132","1","1","4","1","2","1","1","11","2","2"
"133","1","1","4","2","1","1","1","1","2","4"
"134","1","1","4","4","2","1","2","5","1","4"
"135","1","1","4","2","1","1","1","2","2","3"
"136","1","1","4","2","2","1","1","1","2","4"
"137","1","1","4","3","3","1","2","11","2","4"
"138","1","1","4","2","2","3","5","11","2","1"
"139","1","1","4","7","2","2","4","9","2","4"
"140","1","1","4","1","2","2","3","6","2","4"
"141","1","1","4","7","2","2","4","9","2","4"
"142","1","1","4","1","2","2","3","11","2","4"
"143","1","1","4","2","2","4","6","11","2","4"
"144","1","1","4","2","1","2","3","7","3","3"
"145","1","1","4","2","3","1","1","1","2","4"
"146","1","1","4","7","3","3","5","11","2","2"
"147","1","1","4","1","3","2","3","6","2","4"
"148","1","1","4","3","3","5","7","11","2","4"
"149","1","1","4","2","1","2","3","6","2","4"
"150","1","1","4","2","1","2","3","6","2","4"
"151","1","1","4","1","1","2",NA,"11","3","4"
"152","1","1","4","1","1","2","3","6","2","4"
"153","1","1","4","2","2","3","5","11","1","1"
"154","1","1","3","1","1","2",NA,"11","2","4"
"155","1","1","4","1","2","2","3","6","2","4"
"156","1","1","4","1","3","1","1","11","1","4"
"157","1","1","4","2","1","2","3",NA,"3","4"
"158","1","1","4","2","3","1","1","1","2","4"
"159","1","1","4","2","3","1","1","1","2","4"
"160","1","1","4","4","1","2","3","7","3","4"
"161","1","1","2","1","1","2","3",NA,"3","3"
"162","1","1","4","1","1","3","5","10","2","4"
"163","1","1","4","3","1","2","3","6","2","4"
"164","1","1","4","1","2","1","1","3","3","4"
"165","1","1","4","1","1","4","6","11","2","4"
"166","1","1","4","1","1","1","1","3","3","2"
"167","1","1","4","1","3","3","5","11","2","4"
"168","1","1","4","2","1","1",NA,"11","2","4"
"169","1","1","4","1","1","1","1","2","2","4"
"170","1","1","4","1","2","2","3","6","2","4"
"171","1","1","4","1","1","3","5","11","2","2"
"172","1","1","3","2","2","2","3",NA,"3","4"
"173","1","1","4","2","2","3","5","11","2","4"
"174","1","1","4","1","1","2","4","9","2","1"
"175","1","1","4","1","2","1",NA,"11","2","4"
"176","1","1","4","1","1","2","3","6","2","4"
"177","1","1","4","3","2","1","2","5","1","4"
"178","1","1","4","1","3","3","5","11","2","4"
"179","1","1","4","4","3","1","1","1","2","4"
"180","1","1","4","7","2","4","6","11","4","4"
"181","1","1","4","1","3","1","1","3","3","3"
"182","1","1","4","7","1","1","1","1","2","4"
"183","1","1","4","3","1","1","1","11","2","4"
"184","1","1","4","7","3","3","5","11","2","4"
"185","1","1","4","7","3","1","1","2","2","4"
"186","1","1","4","5","2","3","5","11","2","4"
"187","1","1","4","3","3","2","3","6","2","4"
"188","1","1","4","3","2","2","3","6","2","4"
"189","1","1","4","1","3","2","3","6","2","4"
"190","1","1","4","1","1","1","1","1","2","3"
"191","1","1","4","1","2","4","6","11","4","4"
"192","1","1","4","2","1",NA,NA,"11","2","1"
"193","1","1","4","1","3","1","1","11","2","4"
"194","1","1","4","3","2","2","3","6","2","4"
"195","1","1","4","1","2","2","3","7","3","4"
"196","1","1","4","1","3","1","1","2","2","4"
"197","1","1","4","1","2","2","3","7","3","4"
"198","1","1","4","1","1","2",NA,"11","2","4"
"199","1","1","4","1","2","3","5","10","2","4"
"200","1","1","4","1","1","1","1","1","2","4"
"201","1","1","3","1","3","1","1","3","3","4"
"202","1","1","3","1","3","1","1","11","1","4"
"203","1","1","4","2","1","1","1","1","2","4"
"204","1","1","4","2","2","1","1","2","2","4"
"205","1","1","4","1","1","3","5","11","2","4"
"206","1","1","4","1","2","1","1","11","2","4"
"207","1","1","4","2","3","1","1","11","1","4"
"208","1","1","4","1","1","2","3","7","3","4"
"209","1","1","4","1","1","1","1","1","2","4"
"210","1","1","4","6","1","1",NA,"11","2","4"
"211","1","1","4","1","1","1","1","1","2","4"
"212","1","1","4","3","1","2","3","11","2","4"
"213","1","1","4","1","1","1","1","2","2","2"
"214","1","1","4","1","3","1","1","1","2","4"
"215","1","1","4","2","1",NA,NA,"11","4","4"
"216","1","1","4","1","3","1","1","1","2","4"
"217","1","1","4","2","3","1","1","3","3","1"
"218","1","1","4","5","2","1","2","5","1","1"
"219","1","1","4","1","1","2","3","6","2","4"
"220","1","1","4","1","1","3","5","11","4","4"
"221","1","1","4","1","2","2","3",NA,"3","4"
"222","1","1","4","1","3","1",NA,"11","2","4"
"223","1","1","4","2","2","3","5","10","2","2"
"224","1","1","4","7","3","1",NA,"11","2","1"
"225","1","1","4","1","3","3","5","11","2","4"
"226","1","1","4","1","3","1","1","1","2","3"
"227","1","1","4","2","3","2","3","6","2","1"
"228","1","1","4","7","1","1","1","1","2","4"
"229","1","1","4","1","1","2","4","11","3","1"
"230","1","1","4","2","1","1","1","11","2","1"
"231","1","1","3","1","1","2","3","11","2","4"
"232","1","1","4","1","1","1","1","4","3","4"
"233","1","1","4","1","1","4",NA,"11","2","1"
"234","1","1","4","5","1","2","4","9","2","4"
"235","1","1","4","1","3","2",NA,"11","2","1"
"236","1","1","4","5","2","3","5","11","2","4"
"237","1","1","4","2","1","1","2","11","2","3"
"238","1","1","4","1","2","1","1","2","2","4"
"239","1","1","4","2","2","2",NA,"11","2","4"
"240","1","1","4","1","1","2","3","6","2","1"
"241","1","1","4","5","2","1","1","1","2","4"
"242","1","1","4","3","1","1","1","1","2","4"
"243","1","1","4","1","1","1","1","1","2","4"
"244","1","1","4","1","2","2","3","6","2","4"
"245","1","1","4","2","3","2","3","6","2","1"
"246","1","1","4","1","1","1","1","1","2","4"
"247","1","1","4","2","3","1","1","11","2","4"
"248","1","1","4","2","2","1","1","11","2","1"
"249","1","1","4","1","2","2","3","6","2","1"
"250","1","1","4","5","3","3","5","11","2","4"
"251","1","1","4","3","2","1","1","1","2","3"
"252","1","1","4","2","1","1","1","2","2","4"
"253","1","1","4","5","3","1","1","11","1","4"
"254","1","1","4","1","2","1","1","1","2","4"
"255","1","1","4","1","1","1","2","11","2","1"
"256","1","1","4","1","2","1","1","2","2","4"
"257","1","1","4","4","1","1","2","5","1","3"
"258","1","1","4","1","2","2","4","11","3","4"
"259","1","1","4","7","3","1","1","1","2","2"
"260","1","1","4","1","1","2","3","7","3","4"
"261","1","1","4","2","1","1","1","3","3","4"
"262","1","1","4","1","2","2","3","6","2","4"
"263","1","1","4","4","1","1","1","2","2","4"
"264","1","1","4","1","3","1","2","11","1","4"
"265","1","1","4","3","3","3","5","11","1","4"
"266","1","1","4","1","2","1","1","1","2","3"
"267","1","1","4","1","1","1","1","3","3","1"
"268","1","1","4","5","2","2","3","6","2","1"
"269","1","1","4","2","1","4",NA,"11","2","4"
"270","1","1","4","2","2","3","5","11","2","2"
"271","1","1","4","1","1","2","3","7","3","1"
"272","1","1","4","1","3","2","3","6","2","4"
"273","1","1","4","4","2","1","1","3","3","3"
"274","1","1","4","3","1","1","1","2","2","4"
"275","1","1","4","3","1","1","1","2","2","4"
"276","1","1","4","1","1","2",NA,"11","2","1"
"277","1","1","4","1","1","2","3","6","2","4"
"278","1","1","4","1","1","2","3","7","3","4"
"279","1","1","4","1","2","1","1","3","3","4"
"280","1","1","4","1","3","1","1","2","2","4"
"281","1","1","4","1","1","2","3","6","2","2"
"282","1","1","4","1","1","3","5","11","4","4"
"283","1","1","4","6","2","1","1","11","1","4"
"284","1","1","4","7","2","2","3",NA,"3","4"
"285","1","1","4","1","2","2",NA,"11","2","4"
"286","1","1","4","1","1","4","6","11","2","2"
"287","1","1","4","1","1","1","1","3","3","1"
"288","1","1","4","3","1","4","6","11","4","4"
"289","1","1","4","1","1","2","3","6","2","4"
"290","1","1","4","1","1","2","3","11","3","4"
"291","1","1","4","2","3","1","1","11","1","4"
"292","1","1","4","1","3","3","5","11","2","2"
"293","1","1","4","2","1","2","3",NA,"3","4"
"294","1","1","4","4","3","2","3",NA,"3","4"
"295","1","1","4","4","2","2","3","6","2","4"
"296","1","1","4","1","1","1","1","2","2","3"
"297","1","1","4","4","1","2","3","6","2","4"
"298","1","1","4","7","2","2","3",NA,"3","4"
"299","1","1","4","2","1","2","4","9","2","1"
"300","1","1","4","1","2","2","3","6","2","4"
"301","1","1","4","1","2","1","2","11","3","4"
"302","1","1","4","2","2","1","1","4","3","4"
"303","1","1","4","1","1","2","3",NA,"3","4"
"304","1","1","4","4","3","1","1","1","2","3"
"305","1","1","4","6","1","2","3","6","2","4"
"306","1","1","4","5","1","2","3","6","2","4"
"307","1","1","4","1","1","1","1","2","2","4"
"308","1","1","4","1","3","1",NA,"11","2","4"
"309","1","1","4","1","2","1","1","11","2","4"
"310","1","1","4","2","3","3","5","10","2","2"
"311","1","1","2","6","1","2","3","6","2","1"
"312","1","1","4","2","2","3","5","11","2","4"
"313","1","1","4","1","3","2","3","6","2","2"
"314","1","1","4","1","2","1","1","11","2","4"
"315","1","1","4","2","1","1","1","2","2","1"
"316","1","1","4","2","1","1","1","2","2","4"
"317","1","1","4","1","3","1",NA,"11","2","4"
"318","1","1","4","1","2","1","1","1","2","4"
"319","1","1","4","5","1","4",NA,"11","2","1"
"320","1","1","4","5","1","4",NA,"11","2","1"
"321","1","1","4","5","1","4",NA,"11","2","1"
"322","1","1","4","2","1","1","2","11","3","1"
"323","1","1","4","7","1","1","1","3","3","4"
"324","1","1","4","7","1","1","1","11","2","4"
"325","1","1","4","7","3","2","3","11","2","2"
"326","1","1","4","1","1","2","3","7","3","4"
"327","1","1","4","1","2","1","1","11","2","3"
"328","1","1","4","5","2","2","3","6","2","4"
"329","1","1","4","3","1","1","1","4","3","4"
"330","1","1","4","7","2","1","1","1","2","3"
"331","1","1","4","1","2","2","3","11","2","4"
"332","1","1","4","1","2","1","1","3","3","4"
"333","1","1","2","7","1","1","1","1","2","4"
"334","1","1","4","1","1","5","7","11","2","1"
"335","1","1","4","6","2","1","1","1","2","4"
"336","1","1","4","1","3","2",NA,"11","4","4"
"337","1","1","4","2","2","1","1","2","2","4"
"338","1","1","4","3","2","3","5","11","4","4"
"339","1","1","4","1","3","1","1","11","2","1"
"340","1","1","4","1","1","1","1","1","2","1"
"341","1","1","4","1","2","2","3",NA,"3","4"
"342","1","1","4","2","1","2","3","6","2","1"
"343","1","1","3","7","1","1","1","3","3","4"
"344","1","1","4","2","1","1","1","2","2","4"
"345","1","1","4","2","1","2",NA,"11","4","4"
"346","1","1","4","1","3","4",NA,"11","2","4"
"347","1","1","4","6","2","1","1","1","2","4"
"348","1","1","4","1","1","2","3","7","3","3"
"349","1","1","4","1","1","3","5","11","2","4"
"350","1","1","4","2","2","3","5","10","2","2"
"351","1","1","3","1","2","1","1","1","2","4"
"352","1","1","4","3","2","1","1","11","2","4"
"353","1","1","4","3","1","1","2","11","1","4"
"354","1","1","4","1","1","5","7","11","2","4"
"355","1","1","4","7","1","1","1","3","3","4"
"356","1","1","4","5","3","1","1","11","1","1"
"357","1","1","4","1","2","1","2","11","3","4"
"358","1","1","4","3","2","4",NA,"11","2","1"
"359","1","1","3","1","3","3","5","11","2","4"
"360","1","1","4","1","1","2","3","6","2","2"
"361","1","1","4","1","2","1","1","2","2","3"
"362","1","1","4","1","1","1","1","2","2","3"
"363","1","1","4","1","1","3","5","11","4","4"
"364","1","1","4","5","2","2","3","11","2","4"
"365","1","1","4","3","2","1","1","2","2","4"
"366","1","1","4","2","2","1","2","11","2","4"
"367","1","1","4","5","3","2","3",NA,"3","4"
"368","1","1","4","1","2","2","3","6","2","4"
"369","1","1","4","2","2","2","3","6","2","4"
"370","1","1","4","7","1","1","1","1","2","4"
"371","1","1","4","1","2","1","1","1","2","4"
"372","1","1","4","3","1","2","3","11","3","4"
"373","1","1","4","3","3","2","3","6","2","4"
"374","1","1","4","7","1","2","3","7","3","4"
"375","1","1","4","1","1","2","3","7","3","4"
"376","1","1","4","7","1","2","3","6","2","4"
"377","1","1","4","1","3","2","3","6","2","3"
"378","1","1","4","7","3",NA,NA,"11","2","4"
"379","1","1","2","7","3","1","1","1","2","4"
"380","1","1","4","6","1","1","1","1","2","4"
"381","1","1","4","7","1","1","1","1","2","4"
"382","1","1","4","6","3","4",NA,"11","4","4"
"383","1","1","4","1","1","1","1","1","2","4"
"384","1","1","2","1","1","2","3",NA,"3","4"
"385","1","1","3","4","2","4",NA,"11","2","4"
"386","1","1","4","1","1","1","1","3","3","4"
"387","1","1","4","1","2","3","5","11","2","1"
"388","1","1","4","2","1","1","1","1","2","2"
"389","1","1","4","1","1","2","3","7","3","3"
"390","1","1","4","1","2","1","1","3","3","4"
"391","1","1","4","1","1","2","3","6","2","4"
"392","1","1","4","2","2","1","1","1","2","1"
"393","1","1","4","7","1","1","1","11","1","1"
"394","1","1","4","5","3","2","3","7","3","1"
"395","1","1","4","1","1","1","1","11","2","1"
"396","1","1","4","2","1","1","1","1","2","4"
"397","1","1","4","1","1","2","3","6","2","4"
"398","1","1","4","2","1","1",NA,"11","2","4"
"399","1","1","4","1","2","1","1","1","2","1"
"400","1","1","3","1","2","2","3","6","2","4"
"401","1","1","4","7","1","2","3","6","2","4"
"402","1","1","4","4","3","1","1","11","1","4"
"403","1","1","4","1","1","2","3",NA,"3","4"
"404","1","1","3","1","2","3","5","11","4","4"
"405","1","1","4","2","2","1","1","1","2","2"
"406","1","1","4","1","1","2","4","11","2","4"
"407","1","1","4","1","1","1","2","11","1","4"
"408","1","1","4","1","2","1","1","11","1","4"
"409","1","1","4","1","3","3","5","11","2","4"
"410","1","1","4","2","3","1","1","1","2","4"
"411","1","1","4","1","2","1","2","5","1","4"
"412","1","1","4","1","3","1","2","5","1","4"
"413","1","1","4","1","3","2",NA,"11","2","4"
"414","1","1","4","1","1","1","2","11","1","4"
"415","1","1","4","2","3","3","5","11","2","4"
"416","1","1","4","1","2","3","5","10","2","4"
"417","1","1","4","1","2","1","1","11","1","4"
"418","1","1","4","1","1","1","1","11","2","3"
"419","1","1","4","1","3","1","1","11","1","2"
"420","1","1","4","1","1","1","1","1","2","4"
"421","1","1","4","5","2","2","3","6","2","4"
"422","1","1","4","1","1","1","1","1","2","4"
"423","1","1","4","1","3","1","1","1","2","4"
"424","1","1","4","1","3","1","1","1","2","4"
"425","1","1","4","3","2","2","3","11","2","1"
"426","1","1","4","7","1","1","1","11","2","2"
"427","1","1","4","5","3","1","1","1","2","4"
"428","1","1","4","1","2","1","1","1","2","1"
"429","1","1","4","7","3","2","4","9","2","4"
"430","1","1","4","2","1","3","5","11","2","2"
"431","1","1","4","1","1","2","3","6","2","4"
"432","1","1","4","1","1","3","5","11","2","4"
"433","1","1","4","5","3","4","6","11","2","4"
"434","1","1","4","7","3","1",NA,"11","3","4"
"435","1","1","4","1","1",NA,NA,"11","2","4"
"436","1","1","4","3","1","1","1","1","2","4"
"437","1","1","4","1","3","1","1","1","2","4"
"438","1","1","4","1","2","1","1","11","2","4"
"439","1","1","3","1","3","2","3","7","3","4"
"440","1","1","4","1","1","1","1","1","2","1"
"441","1","1","4","1","1","2","3","11","2","4"
"442","1","1","4","1","1","2","3","11","2","4"
"443","1","1","4","5","1","1","1","3","3","4"
"444","1","1","4","1","2","1","2","11","3","4"
"445","1","1","4","1","1","2","3","6","2","2"
"446","1","1","4","3","1","1","1","1","2","4"
"447","1","1","4","1","1","1","1","1","2","4"
"448","1","1","4","1","2","1","1","3","3","3"
"449","1","1","4","1","3","1","1","1","2","4"
"450","1","1","4","1","1","1","1","11","2","4"
"451","1","1","4","1","3","3","5","11","4","1"
"452","1","1","4","5","3","2","3",NA,"3","4"
"453","1","1","4","7","3","3","5","11","2","4"
"454","1","1","4","2","2","2","3","6","2","4"
"455","1","1","4","1","1","1","1","1","2","4"
"456","1","1","4","1","2","1","1","1","2","4"
"457","1","1","3","1","1","2","4","9","2","1"
"458","1","1","4","1","1","2","3","11","2","4"
"459","1","1","3","1","1","2","3","11","2","4"
"460","1","1","4","2","2","3","5","10","2","4"
"461","1","1","4","1","1","1","1","3","3","4"
"462","1","1","4","1","2","1","2","11","2","4"
"463","1","1","4","1","2","2","4","9","2","4"
"464","1","1","4","7","1","1","1","4","3","4"
"465","1","1","4","1","3","3","5","10","2","4"
"466","1","1","3","2","1","3","5","11","2","4"
"467","1","1","4","5","3","1","1","1","2","4"
"468","1","1","4","6","2","2","3","6","2","4"
"469","1","1","4","1","1","4","6","11","2","1"
"470","1","1","4","1","3","1","2","5","1","1"
"471","1","1","4","6","1","2",NA,"11","4","4"
"472","1","1","4","2","1","1","1","1","2","1"
"473","1","1","4","4","3","1","1","3","3","4"
"474","1","1","4","5","2","5","7","11","2","4"
"475","1","1","4","1","1","2","3","11","2","4"
"476","1","1","4","1","3","2","3","6","2","4"
"477","1","1","4","1","3","2","3","7","3","4"
"478","1","1","4","1","3","2","3","11","2","4"
"479","1","1","4","1","1","1","1","2","2","4"
"480","1","1","4","4","2","3","5","11","2","4"
"481","1","1","3","2","1","3","5","11","2","4"
"482","1","1","4","3","1","1","1","3","3","4"
"483","1","1","4","4","1","2",NA,"11","4","1"
"484","1","1","4","1","1","1","1","1","2","4"
"485","1","1","4","1","3","2","3","6","2","4"
"486","1","1","4","2","3","1","1","1","2","1"
"487","1","1","4","1","2","1","1","4","3","4"
"488","1","1","4","1","2","1","1","11","1","4"
"489","1","1","4","4","2","1","1","11","2","4"
"490","1","1","4","5","1","1","1","1","2","4"
"491","1","1","4","5","2","1","1","1","2","1"
"492","1","1","4","1","3","1",NA,"11","2","4"
"493","1","1","4","7","3","2","3","6","2","4"
"494","1","1","4","2","2","2","3",NA,"3","4"
"495","1","1","4","7","3","1","1","1","2","4"
"496","1","1","4","1","1","2","3","7","3","4"
"497","1","1","3","7","2","5","7","11","2","4"
"498","1","1","4","2","2","1","1","1","2","4"
"499","1","1","4","1","3","1","2","5","1","4"
"500","1","1","4","1","3","1","1","1","2","4"
"501","1","1","4","1","1","3","5","11","4","4"
"502","1","1","4","1","1","2","3","11","2","4"
"503","1","1","4","3","1","1","1","3","3","4"
"504","1","1","4","2","1","2","3",NA,"3","4"
"505","1","1","4","4","2","2","3",NA,"3","4"
"506","1","1","4","2","3","1","1","3","3","4"
"507","1","1","3","2","3","1","1","11","1","4"
"508","1","1","2","6","1","1","1","1","2","4"
"509","1","1","4","4","1","1","1","11","2","4"
"510","1","1","4","2","1","1","1","11","1","4"
"511","1","1","4","2","3","1","1","1","2","1"
"512","1","1","3","4","2","1","1","11","1","4"
"513","1","1","4","1","1","1","1","3","3","3"
"514","1","1","4","1","1","1","1","1","2","4"
"515","1","1","4","5","2","2","3","7","3","2"
"516","1","1","4","5","1","1","1","1","2","1"
"517","1","1","4","2","2","3","5","11","4","2"
"518","1","1","4","1","1","1",NA,"11","2","2"
"519","1","1","4","1","3","1","1","1","2","4"
"520","1","1","4","1","2","2",NA,"11","2","4"
"521","1","1","4","2","2","1","2","11","2","4"
"522","1","1","4","3","3","2","3","11","2","4"
"523","1","1","4","6","3","1","1","11","2","4"
"524","1","1","4","1","1","4",NA,"11","2","4"
"525","1","1","3","5","3","2","3","7","3","4"
"526","1","1","4","5","2","2","3",NA,"3","4"
"527","1","1","4","1","1","2","3","7","3","4"
"528","1","1","4","1","3","1","1","1","2","4"
"529","1","1","4","2","2","1","1","2","2","4"
"530","1","1","4","2","1","2","3","6","2","4"
"531","1","1","4","2","2","1","1","3","3","4"
"532","1","1","4","7","1","1","1","3","3","4"
"533","1","1","4","1","1","2","3","7","3","4"
"534","1","1","4","2","2","2","3","6","2","1"
"535","1","1","4","3","1",NA,NA,"11","2","4"
"536","1","1","4","1","1","1","1","11","1","2"
"537","1","1","4","2","3","1","1","4","3","4"
"538","1","1","4","1","3","1","2","5","1","1"
"539","1","1","4","1","2","1","2","5","1","1"
"540","1","1","4","2","1","1","2","11","2","4"
"541","1","1","4","3","3","1","1","1","2","4"
"542","1","1","4","1","1","1","1","3","3","4"
"543","1","1","4","5","3","1","1","11","1","4"
"544","1","1","4","7","2","1","1","11","1","4"
"545","1","1","3","4","1","2","4","11","2","4"
"546","1","1","4","1","1","1","1","1","2","4"
"547","1","1","4","2","1","2","3",NA,"3","1"
"548","1","1","4","1","3","1","1","11","2","4"
"549","1","1","4","5","2","1","1","11","1","1"
"550","1","1","4","1","1","1","1","3","3","4"
"551","1","1","3","2","2","1","1","11","2","4"
"552","1","1","4","1","1","1","1","11","2","4"
"553","1","1","4","1","1","3","5","11","2","4"
"554","1","1","4","1","2","2","3","7","3","4"
"555","1","1","4","1","3","1","1","1","2","4"
"556","1","1","4","1","1","4","6","11","4","4"
"557","1","1","4","1","3","1","1","1","2","4"
"558","1","1","4","5","2","2","3","11","2","4"
"559","1","1","4","1","3","1","1","11","1","4"
"560","1","1","4","5","3","1","1","1","2","4"
"561","1","1","4","2","1","2","4","9","2","4"
"562","1","2","4","2","2","1","2","5","1","2"
"563","1","2","4","2","2","3","5","11","2","4"
"564","1","1","4","2","1","1","1","1","2","4"
"565","1","1","4","1","1","3","5","11","1","1"
"566","1","1","4","5","3","1","1","2","2","4"
"567","1","1","4","2","1","2","3","11","2","4"
"568","1","2","4","7","3","1","1","11","1","4"
"569","1","2","4","1","1","3","5","11","1","4"
"570","1","1","4","1","1","3","5","11","2","4"
"571","1","1","4","5","1","1","1","11","2","3"
"572","1","1","4","1","3","1","1","1","2","4"
"573","1","1","2","1","1","5","7","11","2","4"
